gene_id,Con1_Liver,Con2_Liver,Con3_Liver,Con4_Liver,Con5_Liver,Con6_Liver,T1_Liver,T2_Liver,T3_Liver,T4_Liver,T5_Liver,T6_Liver
100034253,110,163,135,163,176,177,156.91,198.99,124,127,244,199
100036765,5.93,7.9,2,9,8.97,7,31.93,25.83,18.86,9.84,17,19
100049583,77,101,71.02,91,94.74,91,112,117,79,115.99,169,120
100101439,0,1,0,0,0,0,0,0,0,0,0,0
100124593,5,4,2,3,4,3,8,4,1,5,4,4
100125361,38,26,46,20.83,22,29,37,25,28,19,39,19
100125362,0,0,0,0,0,0,2,1,0,0,0,0
100125363,1,0,0,0,0,0,0,0,2,1,0,0
100125364,500.06,580.05,647.1,559.62,553.27,544.19,701.6,625.98,354.22,569.85,396.03,713.09
100125367,62.78,97.09,99.78,89.6,84.81,94.89,108.38,100.96,68,72.24,72.18,102.91
100125368,354.78,296.41,674.1,178.25,345.56,357.3,451.37,234.25,431.63,351.62,290.49,393.01
100125370,3302.9,3692.91,4294.51,3471.99,4081.8,3983.8,3761.99,3539.49,3034.95,3892.95,2852.77,3505.99
100125372,5952.84,5335.86,5304.53,5584.75,4614.02,4277.16,1508.05,1321.43,1364.83,1200.3,879.32,1354.78
100125373,694.95,842.99,852.96,807,782.94,759,971,908,937,837.97,1051,957
100125374,37.37,42.2,33.02,54.38,30.51,35.79,80.63,87.03,68.02,57.34,79.44,92.86
100125378,29,50,34,36,34,45,31,41,61,32,30,38.48
100125385,50,41,47,40,48,42,36,41,35,37,45,49
100126191,448.47,319.06,531.76,638.12,638.12,531.76,743.04,419.64,531.76,106.35,319.06,425.41
100134827,935.6,724.13,886.55,735.56,672.49,626.87,980.22,978.77,872.8,998.54,1290.84,1116.68
100134871,883.51,825.7,700.34,516.89,218.99,467.03,488.64,567.96,1114.11,1830.87,1750.62,368.71
100137086,55,68,67.99,64.97,63,49,89,87,22,37,59,76
100145871,1856,1957,1812,1980.99,2490.98,2442.43,858,865,1005.92,1927,1307.67,870
100147704,1,5,3,2,12,3,19,16,29,8.99,11,13
100151767,224,330.01,302,281,263.91,268,345,298.99,285,280,376.99,340.05
100158223,7.79,6.6,10.96,9.83,4.29,5.05,3.06,8.02,3.32,5.25,12.6,2.32
100158225,188.58,188.31,238.14,173.33,229.04,199.04,160.19,145.7,118.24,286.76,123.64,140.53
100158232,110.42,179.24,126.02,153.4,93.4,91.73,281.96,294.76,146.29,192.91,189.48,349.61
100158233,208.96,266,226.83,272,231,237.06,414.45,454.01,293,308,374.83,438.54
100169747,206.24,373.34,610.99,402.2,203.68,496.14,44.3,51.83,79.52,26.46,62.36,57.64
100174909,49,51,57,40,48,32,44.01,43,45,42,65,47.52
100174910,186.05,221,246,203,237,214.12,221,196,206,174.23,173,211.92
100188932,731.25,608.22,572.1,503.37,593.75,697.74,1329.7,1286.93,1003.54,684.48,1386.42,1305.12
100188933,0,1,0,0,1,1,0,0,0,0,0,0
100188934,0,0,0,1,0,0,2,0,0,1,0,0
100188936,152.61,147.03,164.18,131.73,134.14,102.83,432.44,413.24,333.11,294.05,472.74,431.21
100188937,2031.5,2185.99,1981,2051,2367.98,1963.8,1445.99,1456,1569.99,1480.96,1759,1610.85
100188944,2714.88,2535.18,3776.48,2712.86,1831.4,1909.78,908.56,862.54,1738.21,1476.98,937.92,950.94
100188984,7.97,5.98,8.55,3.23,8.49,4.89,4,4,7.17,11.96,2,3.45
100189544,0,2,0,0,0,0,0,1,0,2,1,2
100190936,697.1,673.6,811.97,726.15,617.76,603.59,561.61,529.88,639.26,738.54,656.64,610.44
